system:index,Category,Date,Id,Label,LakeName,NDBI,NDVI,NDWI,SDWI,Total_Intensity,VH,VH_Filtered,VH_asm,VH_contrast,VH_correlation,VH_entropy,VH_stdDev,VV,VV_Filtered,VV_VH_Ratio,VV_asm,VV_contrast,VV_correlation,VV_entropy,VV_stdDev,angle,slope,.geo
00000000000000000000,Water,2021/3/13,2_19,2,Bailonghu,-0.17714827,-0.123124585,0.43636703,1.8447916475036197,-49.27976343,-25.87955795,-26.1960629,0.21006944444444442,0.7291666666666666,0.06059126767156185,1.6249871742304456,0.13548792657853076,-23.66216394,-23.08370053,0.8811896891782665,0.19444444444444442,1.9166666666666665,0.2290583789999046,1.7334325777906283,0.275275025502368,40.993633,0.37406594,"{""type"":""Point"",""coordinates"":[103.99782576999579,24.140560887416854]}"
00000000000000000001,Water,2021/3/13,2_19,2,Bailonghu,-0.17714827,-0.123124585,0.43636703,1.8447916475036197,-49.27976343,-25.87955795,-26.1960629,0.21006944444444442,0.7291666666666666,0.06059126767156185,1.6249871742304456,0.13548792657853076,-23.66216394,-23.08370053,0.8811896891782665,0.19444444444444442,1.9166666666666665,0.2290583789999046,1.7334325777906283,0.275275025502368,40.993633,0.37406594,"{""type"":""Point"",""coordinates"":[103.99782576999579,24.140560887416854]}"
00000000000000000002,Water,2021/3/13,2_19,2,Bailonghu,-0.17714827,-0.123124585,0.43636703,1.8447916475036197,-49.27976343,-25.87955795,-26.1960629,0.21006944444444442,0.7291666666666666,0.06059126767156185,1.6249871742304456,0.13548792657853076,-23.66216394,-23.08370053,0.8811896891782665,0.19444444444444442,1.9166666666666665,0.2290583789999046,1.7334325777906283,0.275275025502368,40.993633,0.37406594,"{""type"":""Point"",""coordinates"":[103.99782576999579,24.140560887416854]}"
00000000000000000003,Water,2021/3/13,2_19,2,Bailonghu,-0.17714827,-0.123124585,0.43636703,1.8447916475036197,-49.27976343,-25.87955795,-26.1960629,0.21006944444444442,0.7291666666666666,0.06059126767156185,1.6249871742304456,0.13548792657853076,-23.66216394,-23.08370053,0.8811896891782665,0.19444444444444442,1.9166666666666665,0.2290583789999046,1.7334325777906283,0.275275025502368,40.993633,0.37406594,"{""type"":""Point"",""coordinates"":[103.99782576999579,24.140560887416854]}"
00000000000000000004,Water,2021/3/13,2_19,2,Bailonghu,-0.17714827,-0.123124585,0.43636703,1.8447916475036197,-49.27976343,-25.87955795,-26.1960629,0.21006944444444442,0.7291666666666666,0.06059126767156185,1.6249871742304456,0.13548792657853076,-23.66216394,-23.08370053,0.8811896891782665,0.19444444444444442,1.9166666666666665,0.2290583789999046,1.7334325777906283,0.275275025502368,40.993633,0.37406594,"{""type"":""Point"",""coordinates"":[103.99782576999579,24.140560887416854]}"
00000000000000000005,Water,2021/3/13,2_19,2,Bailonghu,-0.17714827,-0.123124585,0.43636703,1.8447916475036197,-49.27976343,-25.87955795,-26.1960629,0.21006944444444442,0.7291666666666666,0.06059126767156185,1.6249871742304456,0.13548792657853076,-23.66216394,-23.08370053,0.8811896891782665,0.19444444444444442,1.9166666666666665,0.2290583789999046,1.7334325777906283,0.275275025502368,40.993633,0.37406594,"{""type"":""Point"",""coordinates"":[103.99782576999579,24.140560887416854]}"
00000000000000000006,Water,2021/3/13,2_19,2,Bailonghu,-0.17714827,-0.123124585,0.43636703,1.8447916475036197,-49.27976343,-25.87955795,-26.1960629,0.21006944444444442,0.7291666666666666,0.06059126767156185,1.6249871742304456,0.13548792657853076,-23.66216394,-23.08370053,0.8811896891782665,0.19444444444444442,1.9166666666666665,0.2290583789999046,1.7334325777906283,0.275275025502368,40.993633,0.37406594,"{""type"":""Point"",""coordinates"":[103.99782576999579,24.140560887416854]}"
00000000000000000007,Water,2021/3/13,2_11,2,Bailonghu,-0.16296296,-0.25238097,0.5382353,1.8944907653861998,-50.58270952,-25.18493099,-26.03760125,0.3394097222222222,0.5625,-0.323809524,1.129903731676482,0.03812422563333838,-25.37033265,-24.54510828,0.9426793215701336,0.3046875,0.5208333333333333,0.07424629931162227,1.2999332767452798,0.18176020837385584,41.05744,0.37406594,"{""type"":""Point"",""coordinates"":[103.98417200257015,24.129783240170674]}"
00000000000000000008,Water,2021/3/13,2_11,2,Bailonghu,-0.16296296,-0.25238097,0.5382353,1.8944907653861998,-50.58270952,-25.18493099,-26.03760125,0.3394097222222222,0.5625,-0.323809524,1.129903731676482,0.03812422563333838,-25.37033265,-24.54510828,0.9426793215701336,0.3046875,0.5208333333333333,0.07424629931162227,1.2999332767452798,0.18176020837385584,41.05744,0.37406594,"{""type"":""Point"",""coordinates"":[103.98417200257015,24.129783240170674]}"
00000000000000000009,Water,2021/3/13,2_11,2,Bailonghu,-0.16296296,-0.25238097,0.5382353,1.8944907653861998,-50.58270952,-25.18493099,-26.03760125,0.3394097222222222,0.5625,-0.323809524,1.129903731676482,0.03812422563333838,-25.37033265,-24.54510828,0.9426793215701336,0.3046875,0.5208333333333333,0.07424629931162227,1.2999332767452798,0.18176020837385584,41.05744,0.37406594,"{""type"":""Point"",""coordinates"":[103.98417200257015,24.129783240170674]}"
